logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL	significance	delabel
1.96625047451802	8.87767076457384	8.15521819093008	3.50049307335721e-09	2.56462810806507e-05	10.619380806187	THY1	Upregulated	THY1
3.57065505992721	7.4641115700061	8.08025163950087	4.25947202801041e-09	2.56462810806507e-05	10.4462533844249	SFRP4	Upregulated	SFRP4
1.83981149272485	8.1966261258144	7.31381794406679	3.29465227292607e-08	9.819119193954e-05	8.62750637125023	NID2	Upregulated	NID2
1.05516710419059	7.44326801465096	7.28491969728711	3.56364420667312e-08	9.819119193954e-05	8.55725845437014	PAPSS2	Upregulated	PAPSS2
3.52465432573479	4.58368219566909	7.16883605702975	4.88897043111866e-08	9.819119193954e-05	8.27391192576101	COL4A4	Upregulated	COL4A4
1.35585158754222	11.2456456406206	7.16857651488799	4.89243607072944e-08	9.819119193954e-05	8.27327635033697	COL15A1	Upregulated	COL15A1
1.69767787968651	7.40125332878186	6.9197688301344	9.68224868148803e-08	0.000166562340889256	7.65987327215463	NLGN4X	Upregulated	NLGN4X
0.712947571143479	12.7608338323367	6.27451162001213	5.8458747010179e-07	0.000844998879330815	6.03411396269173	IGFBP7	Upregulated	IGFBP7
1.39905491415383	9.76786248361289	6.24706628546118	6.31538773789847e-07	0.000844998879330815	5.96397524468351	CD93	Upregulated	CD93
1.66219266543343	8.25941372465089	5.97159827650729	1.37527642493408e-06	0.00165610787090561	5.25626542158462	CHN1	Upregulated	CHN1
1.73964012493929	6.6432994887375	5.90206487027593	1.67504350778863e-06	0.00183371581098097	5.07665155301492	FMO3	Upregulated	FMO3
1.50177860208099	9.78269191572825	5.72527050991996	2.76849437030705e-06	0.00257396787844617	4.61847065003707	COL4A1	Upregulated	COL4A1
1.74078938081736	10.0830337886041	5.72397266432742	2.7787396130045e-06	0.00257396787844617	4.61509993522299	PRSS23	Upregulated	PRSS23
1.16952648796163	5.89228771575466	5.67422935276432	3.20151358803118e-06	0.00275375904479082	4.48583705416497	RGS16	Upregulated	RGS16
1.14627297938423	7.82761816361985	5.62130073597063	3.72259443101653e-06	0.00278296932689889	4.34815180559212	CFI	Upregulated	CFI
1.3978138537321	7.71213921437987	5.57992013907338	4.18866957327963e-06	0.00278296932689889	4.24041074291718	SELP	Upregulated	SELP
1.14680553336282	8.61891480935364	5.57778931212299	4.21419630398828e-06	0.00278296932689889	4.23486063787874	COL4A2	Upregulated	COL4A2
0.832488737722723	9.94808534321886	5.5703824233364	4.30414975221488e-06	0.00278296932689889	4.21556653558472	PECAM1	Upregulated	PECAM1
1.76696857498113	10.3297012850395	5.56337705562786	4.39099960231513e-06	0.00278296932689889	4.19731610633862	ASPN	Upregulated	ASPN
1.17195842622845	6.64276500087736	5.53662575879187	4.73914544200228e-06	0.00285343947062958	4.12760394532907	GJA4	Upregulated	GJA4
1.84669823243066	10.8618800392322	5.5149804824755	5.0410161093951e-06	0.00289066266615884	4.07117599313557	SERPINE2	Upregulated	SERPINE2
0.520255311691546	8.83725305473327	5.42590373548241	6.50029143019797e-06	0.00355802315465654	3.8387743504488	PHACTR2	Upregulated	PHACTR2
