pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.773892773892774	1	0.0647943366000727	-0.246908319464456	-0.868781411644048	74	CFTR,ABCA5,ABCB9,ABCD2,ABCC2,ABCA4,ABCC5,ABCA12,ABCD1,ABCC3,ABCA2,ABCG5,ABCB6
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.559574468085106	1	0.0764767053228531	-0.380373979007737	-0.94574159607654	15	ABCA5,ABCD2,ABCA12,ABCD1,ABCA2,ABCG5,ABCA7
REACTOME_ABC_TRANSPORTER_DISORDERS	0.995412844036697	1	0.0521630305460055	-0.170383475455324	-0.574974469615316	55	CFTR,ABCC2,ABCA12,ABCD1,LMBRD1,ABCG5,ABCB6,ABCD4,SEM1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.701688555347092	1	0.0590954798717342	0.345168100517609	0.80430194371818	13	UBE2D1,RB1,SKP2,ANAPC10,CDC27,UBE2E1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.511070110701107	1	0.0738052724171275	0.388853132457354	0.963078150895485	17	CDK6,E2F3,CCND2,RB1,CCNE2,CCND1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.742342342342342	1	0.054568064667094	0.310531440095719	0.82267558534251	23	CTDP1,NCBP2,GTF2F1,POLR2L,POLR2F
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.403377110694184	1	0.0873098257637931	0.455916679214515	1.06236546979829	13	CHRNA3,CHRNA5
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.554112554112554	1	0.0778840111977068	-0.373996825082749	-0.947115057409545	16	SLC5A7,TSPOAP1,PPFIA4,SYT1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.436734693877551	1	0.0875697115548511	-0.458645149700691	-1.0313859342618	10	CHRM3,PLCB2
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.411894273127753	1	0.0952879846194844	-0.373631125606172	-1.02938635867669	22	NEURL1,JAG2,NOTCH1,CNTN1,NCSTN,DTX2
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.361328125	1	0.0959206777921745	0.51566793505468	1.10263239693547	10	SOS1,GRB2,KRAS,PTPN11,FRS2
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.816433566433566	1	0.0487989701682839	0.268473555356846	0.808027529198719	40	H2BC6,H2BC3,H2BC13,H4C13,H3C1,H4C6,H4C2,H2BC10,H2AC4,H3C2
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.874538745387454	1	0.0481183992657975	0.283326403326403	0.701718581745991	17	TAB1,MAPKAPK2,IRAK1,MAPK11,UBB,UBE2N,MAPK14,MAP2K6
