pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.0332446808510638	0.192029777518702	0.287857117255149	0.38045215117837	1.41460155684721	79	PSMC6,PSMA4,SEM1,PSMA6,PSMA3,PSMA2,RPS27A,ABCA10,PSMB1,ABCA5,PSMC2,ABCC3,SEL1L,ABCC4,ABCD3,ABCB10,UBC,OS9,DERL2,ABCC5,ABCC6,ABCC2,EIF2S1,ERLEC1,EIF2S2,PSMD14,PSMA7,PSMB7,PSMD13
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.837520938023451	1	0.0456790414930062	0.275462887151804	0.703551974169073	13	ABCA10,ABCA5,ABCD3,ABCA7,ABCG1,ABCD2,APOA1
REACTOME_ABC_TRANSPORTER_DISORDERS	0.00353330931917191	0.0395543034402873	0.431707695803346	0.486215704356862	1.7038023096311	57	PSMC6,PSMA4,SEM1,PSMA6,PSMA3,ABCA1,PSMA2,RPS27A,PSMB1,PSMC2
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.346709470304976	0.757879005339355	0.0870515867946735	0.398193657533297	1.10715362242659	20	ANAPC10,ANAPC4,RB1,CDC27,UBE2D1,ANAPC15,UBE2E1,SKP2,UBE2C
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.654040404040404	0.981448530380915	0.077274697304471	-0.290870996326712	-0.859071778997553	17	CDK4,CCND1,CCND3,CDK2,CDKN1B,TFDP2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.371835443037975	0.780923358391349	0.0824344091527096	0.376729276969451	1.08405463702378	23	POLR2K,GTF2F2
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.0155936593436106	0.110201000389203	0.380730400722792	-0.666305861958907	-1.66643394265663	10	TSPOAP1,STXBP1,RAB3A,STX1A,PPFIA3
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.356807511737089	0.764692243356713	0.0840745577910723	0.363743930431423	1.08754052752494	27	RPS27A,JAG1,MIB1,ADAM10,UBC,ADAM17,ARRB2,PSEN1,PSENEN
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.0175816013037974	0.120220138644885	0.352487857583619	0.482572375178026	1.57485300743362	41	H4C5,H4C4,H2BC7,H3C4,H2AC19,H2AC18,H2AC7,NCOA2,H4C11,H3C6,H2AJ,H4C16,H4C12,H2AC20,AR,H2BC21,H4C8,H4C14,H2AC8,H4C15
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.768987341772152	1	0.0469758727821845	0.271178670904929	0.780328245315196	23	RPS27A,MAP2K6,TAB3,UBC,MAPK14,MAP3K7,UBE2N
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.18732782369146	0.537346251631966	0.169570644405628	-0.375884337851725	-1.23909433701069	25	TUBB8B,TUBB8,TUBB4A,TUBA3D,TUBB2A,TUBB2B
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.20671834625323	0.575988343635101	0.104732821580651	0.303354873410269	1.15374067057651	94	POLR2K,H4C5,H4C4,H2BC7,DPY30,HOXA2,KMT2C,H3C4,H2AC19,H2AC18,H2AC7,H4C11,H3C6,H2AJ,H4C16,SUZ12,H4C12,H2AC20
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.00278896487660519	0.0323673446688584	0.431707695803346	0.465999008980683	1.6730142682151	64	PSMC6,PSMA4,SEM1,PSMA6,PSMA3,PSMA2,ANAPC10,CDK1,RPS27A,PSMB1,PSMC2,ANAPC4
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.761834319526627	1	0.0443293451680314	0.250642679144685	0.803221566883621	37	RPA3,MCM10,CLSPN,ORC4,CDC7,RAD9B,ORC3,RAD1,CDC25C,ATRIP,CDC6,RFC4,ORC6,ATR,RFC3,CDC25A
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.911330049261084	1	0.0596037042575973	-0.227931275919642	-0.650381547943247	15	AKT2,AKT1,YWHAQ,PPP3CC,YWHAH,YWHAG,YWHAB,BAD,AKT3,PPP3R1,YWHAE,BCL2,YWHAZ,BID,SFN
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.988826815642458	1	0.0617054053637522	-0.153374722820283	-0.535494634812227	29	PPP1R13B,AKT2,AKT1,TFDP2,YWHAQ,BMF,TP53,PPP3CC,YWHAH
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.899135446685879	1	0.0354665010333725	0.220319655716405	0.723813170121845	42	NFYB,IDI1,CHD9,NCOA2,TBL1XR1,HMGCR,SMARCD3,SP1,HELZ2,HMGCS1,GGPS1,MTF1
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	0.106907894736842	0.387900266425376	0.173747838999571	0.500905916340633	1.36284179016986	18	LY96,RPS27A,IRF7,TBK1,TLR4,CD14,UBC,TICAM2,TANK
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.729393468118196	1	0.0486034247259069	0.274514341660694	0.802591925379122	24	GNG11,GNG10,GRIK1,GNB4,PLCB1,DLG1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.646869983948636	0.978486826202562	0.0555947097758869	0.314931912159908	0.875649324817328	20	MMP1,MMP8,MMP9,TIMP1,MMP14,COL18A1
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.0022676872882304	0.0281541113016517	0.431707695803346	0.49606335423312	1.71271252193008	54	PSMC6,PSMA4,SEM1,PSMA6,PSMA3,PSMA2,RPS27A,PSMB1,PSMC2,REL
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.414342629482072	0.828030689249322	0.134273452883202	-0.235327742649484	-1.01474495016958	74	RASGRF1,GRIN2C,KIF17,APBA1,TUBB8B,TUBB8,RPS6KA2,TUBB4A,TUBA3D,TUBB2A,LRRC7,PRKAR1B,TUBB2B,GIT1
REACTOME_ACTIVATION_OF_RAC1	0.134259259259259	0.438857785434013	0.184706471207739	-0.534087526295038	-1.33575529344879	10	PAK6,NCK2,PAK4
REACTOME_ACTIVATION_OF_SMO	0.760469011725293	1	0.0500922874402106	0.300252505343981	0.76686643731994	13	EFCAB7,ARRB2,CSNK1A1,KIF3A,BOC
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	7.28147709020136e-11	4.38622310433558e-09	0.839088935621274	0.701336527168014	2.47433804927513	60	RPS24,RPS7,RPS27L,RPS27,RPS3A,RPS17,RPS15A,RPS4Y1,RPS29,RPS21,RPS10,RPS18,RPS25,RPS27A,RPS20,RPS9,FAU,RPS14,RPS23,RPS6,RPS4Y2,RPS11,EIF3E,RPSA,RPS8
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.858447488584475	1	0.0401660980049421	0.236338726536355	0.731240156686122	32	POLE4,RPA3,MCM10,ORC4,POLE2,GMNN,CDC7
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.686971235194585	1	0.0552495663125249	0.31812683380042	0.843104842210027	16	PNPLA8,MBOAT2,PLA2G4A,LPCAT2,PLA2G12A,PLA2G4C,PLBD1,PLB1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.820723684210526	1	0.04577044581081	0.27493423670907	0.74802843231097	18	PNPLA8,MBOAT2,PLA2G4A,PLAAT1,PLA2G12A,PLA2G4C
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.5	0.876580204138964	0.0897104652742981	-0.384459466577566	-0.979870115024442	11	OSBPL10,PLA2G2D,OSBPL5,LPCAT4,PLA2G4B,PLAAT3
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.835648148148148	1	0.0607719451853533	-0.292860572203907	-0.732445601711565	10	ADCY9,ADCY3,ADCY5
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.965625	1	0.0683110858318647	-0.175426260042701	-0.631849695077612	35	CDH4,ILF3,PRDM8,ACTG1,NECTIN1,SOX10,CDH24,ZC3H12A,CADM1
REACTOME_ADIPOGENESIS	1	1	0.0850427463764322	-0.13237973046182	-0.588079471972439	97	WNT1,LEP,ADIRF,WNT10B,SLC2A4,CARM1,MED9,CDK4,MED29,MTA1,SREBF2,CCND3,NCOR2,MED24,MED22,MED26,TBL1X,MTA3,RBBP7,MED15,SREBF1,CHD3,CEBPD,MED6,RBBP4,GATAD2A,HDAC3,MTA2,HDAC1,MED12,MED27,RXRA,MBD3,MED18,NFKB1
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.63109756097561	0.97739352844792	0.0543434390269162	0.287731090817757	0.897309496302585	33	GNG11,GNG10,PRKAR2B,GNB4,PRKACB,GNAI3,CREB1,ADCY4,GNAZ,GNG2,GNAI1
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.049959143210521	0.252793264645236	0.321775918075361	0.544499770110055	1.51394900818424	20	P2RY1,GNG11,GNG10,GNAQ,GNB4,PLA2G4A
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.17986798679868	0.523064375403058	0.130777137971974	0.470090529245826	1.26754267462946	17	GNG11,GNG10,P2RY12,GNB4,GNAI3,GNG2,GNAI1,GNB5
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.832278481012658	1	0.0433636987883266	0.251571295502506	0.723907182434579	23	GNG11,GNG10,GNB4
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.0523648648648649	0.260793519897851	0.257206466468838	0.616776713436553	1.52775980512785	12	S100A12,CAPZA2,HMGB1,CAPZA1,LGALS3,AGER
