pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.907356948228883	1	0.0646484568421928	-0.230726501316574	-0.793574979473785	89	CFTR,ABCA12,ABCC3,ABCC9,APOA1,UBA52
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.786026200873362	0.998292780460796	0.0609039347452418	-0.315627380483592	-0.76643846501251	18	ABCA12,APOA1
REACTOME_ABC_TRANSPORTER_DISORDERS	0.417721518987342	0.84546203210218	0.102821842840815	-0.309300384409739	-1.01255179526217	64	CFTR,ABCA12,ABCC9,APOA1,UBA52,LMBRD1,ABCB4,PSMD8
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.892543859649123	1	0.0551351763385257	-0.278471575058067	-0.681578335469118	19	ANAPC16,UBE2S,ANAPC2,ANAPC5,CDC16,ANAPC4,CDC23,FZR1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.704887218045113	0.978340952884724	0.0589694466690997	0.360220386663879	0.819631519564674	17	CDKN1A,CDKN1C,RB1,CCND3,E2F3,CDK4
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.932017543859649	1	0.0531298054705469	-0.255663681392136	-0.625754446811397	19	GTF2F2,POLR2J,POLR2K,POLR2A,POLR2E,POLR2C
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.943157894736842	1	0.0507027937029348	-0.25209366172001	-0.575769855320403	14	CHRNA4,CHRNA7,CHRNB2
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.595238095238095	0.944157694495619	0.0741758965588009	-0.377340978461175	-0.887972774182301	16	SYT1,PPFIA3,RIMS1,RAB3A,VAMP2
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.6351606805293	0.950332502503753	0.0642140881844605	0.404826312338319	0.849114757951462	10	PLCB2,MARCKS,GNAQ,GNA14,PRKCA
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.725173210161663	0.985936287013419	0.0675188953767744	-0.298048453257116	-0.815535048334583	30	DNER,ITCH,UBA52,DLL1,PSEN1,APH1B
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	0.633962264150943	0.950332502503753	0.0642140881844605	0.406702238220796	0.861478244805313	11	NTRK2,GRB2,SOS1,NTF4
